# This is the run log of LabScaleImpacts
# Experiment type: HOLSAPPLE1 (1)
# Time step used = 0.0002
# Top of regolith surface = 0.136654
# Impactor launch speed = 3.7
# Columns are (values in code units, d is penetration depth):
# [t]    [v_y]    [d]    [x]    [y]    [z]

0.048200    -0.102792    -0.029370    -0.002484    +0.121584    +0.000104
0.048400    -0.102813    -0.029391    -0.002472    +0.121563    +0.000108
0.048600    -0.102771    -0.029411    -0.002461    +0.121543    +0.000111
0.048800    -0.102596    -0.029432    -0.002450    +0.121522    +0.000113
0.049000    -0.102553    -0.029452    -0.002438    +0.121502    +0.000116
0.049200    -0.102396    -0.029473    -0.002427    +0.121481    +0.000118
0.049400    -0.102227    -0.029493    -0.002415    +0.121461    +0.000120
0.049600    -0.102180    -0.029514    -0.002404    +0.121440    +0.000122
0.049800    -0.102252    -0.029534    -0.002392    +0.121420    +0.000124
0.050000    -0.102489    -0.029554    -0.002381    +0.121400    +0.000125
0.050200    -0.102859    -0.029575    -0.002369    +0.121379    +0.000127
0.050400    -0.103330    -0.029596    -0.002358    +0.121358    +0.000128
0.050600    -0.103891    -0.029616    -0.002346    +0.121338    +0.000129
0.050800    -0.104511    -0.029637    -0.002335    +0.121317    +0.000130
0.051000    -0.105207    -0.029658    -0.002323    +0.121296    +0.000131
0.051200    -0.105938    -0.029680    -0.002311    +0.121274    +0.000131
0.051400    -0.106672    -0.029701    -0.002300    +0.121253    +0.000132
0.051600    -0.107389    -0.029722    -0.002288    +0.121232    +0.000132
0.051800    -0.108032    -0.029744    -0.002276    +0.121210    +0.000133
0.052000    -0.108569    -0.029766    -0.002264    +0.121188    +0.000133
0.052200    -0.109127    -0.029788    -0.002253    +0.121166    +0.000133
0.052400    -0.109733    -0.029809    -0.002241    +0.121145    +0.000133
0.052600    -0.110127    -0.029832    -0.002229    +0.121122    +0.000132
0.052800    -0.109933    -0.029854    -0.002217    +0.121100    +0.000132
0.053000    -0.109381    -0.029875    -0.002205    +0.121079    +0.000131
0.053200    -0.109169    -0.029897    -0.002193    +0.121057    +0.000130
0.053400    -0.109094    -0.029919    -0.002181    +0.121035    +0.000128
0.053600    -0.108552    -0.029941    -0.002169    +0.121013    +0.000127
0.053800    -0.108181    -0.029962    -0.002157    +0.120992    +0.000125
0.054000    -0.107964    -0.029984    -0.002145    +0.120970    +0.000123
0.054200    -0.106763    -0.030005    -0.002133    +0.120949    +0.000121
0.054400    -0.106074    -0.030027    -0.002120    +0.120927    +0.000118
0.054600    -0.105601    -0.030048    -0.002108    +0.120906    +0.000116
0.054800    -0.105228    -0.030069    -0.002095    +0.120885    +0.000113
0.055000    -0.105074    -0.030090    -0.002082    +0.120864    +0.000110
0.055200    -0.104736    -0.030111    -0.002069    +0.120843    +0.000107
0.055400    -0.104198    -0.030132    -0.002055    +0.120822    +0.000103
0.055600    -0.103522    -0.030152    -0.002042    +0.120802    +0.000100
0.055800    -0.102987    -0.030173    -0.002029    +0.120781    +0.000096
0.056000    -0.102694    -0.030193    -0.002015    +0.120761    +0.000093
0.056200    -0.102435    -0.030214    -0.002002    +0.120740    +0.000089
0.056400    -0.102193    -0.030234    -0.001988    +0.120720    +0.000085
0.056600    -0.100881    -0.030255    -0.001975    +0.120699    +0.000080
0.056800    -0.092292    -0.030273    -0.001961    +0.120681    +0.000077
0.057000    -0.085254    -0.030290    -0.001948    +0.120664    +0.000074
0.057200    -0.078463    -0.030306    -0.001936    +0.120648    +0.000073
0.057400    -0.072391    -0.030321    -0.001923    +0.120633    +0.000072
0.057600    -0.067342    -0.030334    -0.001911    +0.120620    +0.000071
0.057800    -0.063376    -0.030347    -0.001900    +0.120607    +0.000071
0.058000    -0.060230    -0.030359    -0.001888    +0.120595    +0.000072
0.058200    -0.057658    -0.030370    -0.001877    +0.120584    +0.000073
0.058400    -0.055389    -0.030381    -0.001866    +0.120573    +0.000075
0.058600    -0.053548    -0.030392    -0.001855    +0.120562    +0.000077
0.058800    -0.051667    -0.030402    -0.001844    +0.120552    +0.000079
0.059000    -0.050273    -0.030412    -0.001834    +0.120542    +0.000081
0.059200    -0.048949    -0.030422    -0.001823    +0.120532    +0.000084
0.059400    -0.047940    -0.030432    -0.001813    +0.120522    +0.000087
0.059600    -0.047252    -0.030441    -0.001803    +0.120513    +0.000090
0.059800    -0.046909    -0.030450    -0.001792    +0.120504    +0.000093
0.060000    -0.046589    -0.030460    -0.001782    +0.120494    +0.000096
0.060200    -0.046294    -0.030469    -0.001772    +0.120485    +0.000099
0.060400    -0.045980    -0.030478    -0.001762    +0.120476    +0.000102
0.060600    -0.045742    -0.030487    -0.001752    +0.120467    +0.000105
0.060800    -0.045543    -0.030496    -0.001742    +0.120458    +0.000108
0.061000    -0.045306    -0.030505    -0.001733    +0.120449    +0.000111
0.061200    -0.045014    -0.030514    -0.001723    +0.120440    +0.000115
0.061400    -0.044691    -0.030523    -0.001713    +0.120431    +0.000118
0.061600    -0.044427    -0.030532    -0.001703    +0.120422    +0.000121
0.061800    -0.044060    -0.030541    -0.001693    +0.120413    +0.000124
0.062000    -0.043631    -0.030550    -0.001684    +0.120404    +0.000128
0.062200    -0.043044    -0.030558    -0.001674    +0.120396    +0.000131
0.062400    -0.042148    -0.030567    -0.001665    +0.120387    +0.000134
0.062600    -0.040919    -0.030575    -0.001655    +0.120379    +0.000138
0.062800    -0.039075    -0.030583    -0.001645    +0.120371    +0.000141
0.063000    -0.036989    -0.030590    -0.001636    +0.120364    +0.000145
0.063200    -0.034919    -0.030597    -0.001626    +0.120357    +0.000148
0.063400    -0.032605    -0.030604    -0.001617    +0.120350    +0.000152
0.063600    -0.029975    -0.030610    -0.001607    +0.120344    +0.000155
0.063800    -0.027187    -0.030615    -0.001597    +0.120339    +0.000158
0.064000    -0.024859    -0.030620    -0.001587    +0.120334    +0.000162
0.064200    -0.023086    -0.030625    -0.001577    +0.120329    +0.000166
0.064400    -0.022122    -0.030629    -0.001567    +0.120325    +0.000170
0.064600    -0.021660    -0.030633    -0.001558    +0.120321    +0.000174
0.064800    -0.021428    -0.030638    -0.001548    +0.120316    +0.000177
0.065000    -0.021151    -0.030642    -0.001538    +0.120312    +0.000181
0.065200    -0.020532    -0.030646    -0.001528    +0.120308    +0.000186
0.065400    -0.019657    -0.030650    -0.001518    +0.120304    +0.000189
0.065600    -0.018742    -0.030654    -0.001508    +0.120300    +0.000193
0.065800    -0.017863    -0.030657    -0.001499    +0.120297    +0.000197
0.066000    -0.017275    -0.030661    -0.001489    +0.120293    +0.000201
0.066200    -0.016804    -0.030664    -0.001479    +0.120290    +0.000205
0.066400    -0.016379    -0.030667    -0.001469    +0.120287    +0.000208
0.066600    -0.015988    -0.030671    -0.001459    +0.120283    +0.000212
0.066800    -0.015743    -0.030674    -0.001450    +0.120280    +0.000216
0.067000    -0.015467    -0.030677    -0.001440    +0.120277    +0.000220
0.067200    -0.014893    -0.030680    -0.001430    +0.120274    +0.000224
0.067400    -0.014360    -0.030683    -0.001421    +0.120271    +0.000228
0.067600    -0.013611    -0.030685    -0.001411    +0.120269    +0.000231
0.067800    -0.013029    -0.030688    -0.001402    +0.120266    +0.000236
0.068000    -0.012592    -0.030690    -0.001392    +0.120264    +0.000240
0.068200    -0.012295    -0.030693    -0.001383    +0.120261    +0.000244
0.068400    -0.011917    -0.030695    -0.001373    +0.120259    +0.000248
0.068600    -0.011597    -0.030698    -0.001364    +0.120256    +0.000252
0.068800    -0.011417    -0.030700    -0.001354    +0.120254    +0.000256
0.069000    -0.011199    -0.030702    -0.001345    +0.120252    +0.000260
0.069200    -0.010659    -0.030704    -0.001335    +0.120250    +0.000265
0.069400    -0.009384    -0.030706    -0.001326    +0.120248    +0.000269
0.069600    -0.008087    -0.030708    -0.001317    +0.120246    +0.000273
0.069800    -0.007144    -0.030709    -0.001307    +0.120245    +0.000277
0.070000    -0.006244    -0.030710    -0.001298    +0.120244    +0.000282
0.070200    -0.005530    -0.030712    -0.001289    +0.120242    +0.000286
0.070400    -0.004981    -0.030713    -0.001280    +0.120241    +0.000290
0.070600    -0.004511    -0.030713    -0.001271    +0.120241    +0.000294
0.070800    -0.004217    -0.030714    -0.001263    +0.120240    +0.000298
0.071000    -0.003868    -0.030715    -0.001254    +0.120239    +0.000302
0.071200    -0.003565    -0.030716    -0.001245    +0.120238    +0.000306
0.071400    -0.003275    -0.030716    -0.001236    +0.120238    +0.000310
0.071600    -0.002868    -0.030717    -0.001228    +0.120237    +0.000314
0.071800    -0.002467    -0.030717    -0.001219    +0.120237    +0.000318
0.072000    -0.002122    -0.030718    -0.001210    +0.120236    +0.000322
0.072200    -0.001876    -0.030718    -0.001202    +0.120236    +0.000326
0.072400    -0.001736    -0.030719    -0.001193    +0.120235    +0.000330
0.072600    -0.001722    -0.030719    -0.001185    +0.120235    +0.000334
0.072800    -0.001671    -0.030719    -0.001176    +0.120235    +0.000338
0.073000    -0.001773    -0.030720    -0.001168    +0.120234    +0.000342
0.073200    -0.001771    -0.030720    -0.001160    +0.120234    +0.000346
0.073400    -0.001695    -0.030720    -0.001151    +0.120234    +0.000351
0.073600    -0.001609    -0.030721    -0.001143    +0.120233    +0.000355
0.073800    -0.001516    -0.030721    -0.001135    +0.120233    +0.000359
0.074000    -0.001390    -0.030721    -0.001127    +0.120233    +0.000363
0.074200    -0.001252    -0.030721    -0.001118    +0.120233    +0.000367
0.074400    -0.001176    -0.030722    -0.001110    +0.120232    +0.000371
0.074600    -0.001119    -0.030722    -0.001102    +0.120232    +0.000375
0.074800    -0.001046    -0.030722    -0.001094    +0.120232    +0.000380
0.075000    -0.001019    -0.030722    -0.001086    +0.120232    +0.000384
0.075200    -0.000962    -0.030722    -0.001078    +0.120232    +0.000388
0.075400    -0.000973    -0.030723    -0.001070    +0.120231    +0.000392
0.075600    -0.001107    -0.030723    -0.001062    +0.120231    +0.000396
0.075800    -0.001144    -0.030723    -0.001053    +0.120231    +0.000401
0.076000    -0.001028    -0.030723    -0.001045    +0.120231    +0.000405
0.076200    -0.000910    -0.030723    -0.001037    +0.120231    +0.000409
0.076400    -0.000799    -0.030724    -0.001029    +0.120230    +0.000413
0.076600    -0.000883    -0.030724    -0.001021    +0.120230    +0.000417
0.076800    -0.000845    -0.030724    -0.001013    +0.120230    +0.000421
0.077000    -0.000783    -0.030724    -0.001005    +0.120230    +0.000425
