# This is the run log of Verify
# Experiment type: SPRINGER (6)
# Time step used = 0.004
# Columns are (values in code units):
# [t]    [x]    [v]

2.875977    -9.704990    -2.678875
2.879977    -9.715550    -2.640098
2.883977    -9.725956    -2.601278
2.887977    -9.736206    -2.562415
2.891977    -9.746300    -2.523512
2.895977    -9.756238    -2.484567
2.899977    -9.766021    -2.445582
2.903977    -9.775647    -2.406557
2.907977    -9.785117    -2.367492
2.911977    -9.794431    -2.328390
2.915977    -9.803588    -2.289249
2.919977    -9.812588    -2.250072
2.923977    -9.821431    -2.210857
2.927977    -9.830117    -2.171607
2.931977    -9.838647    -2.132321
2.935977    -9.847019    -2.093001
2.939976    -9.855234    -2.053646
2.943976    -9.863291    -2.014258
2.947976    -9.871190    -1.974837
2.951976    -9.878932    -1.935384
2.955976    -9.886516    -1.895899
2.959976    -9.893941    -1.856384
2.963976    -9.901208    -1.816838
2.967976    -9.908317    -1.777262
2.971976    -9.915267    -1.737657
2.975976    -9.922059    -1.698024
2.979976    -9.928693    -1.658363
2.983976    -9.935167    -1.618674
2.987976    -9.941483    -1.578960
2.991976    -9.947640    -1.539219
2.995976    -9.953638    -1.499453
2.999976    -9.959476    -1.459662
3.003976    -9.965156    -1.419848
3.007976    -9.970675    -1.380010
3.011976    -9.976036    -1.340149
3.015975    -9.981237    -1.300267
3.019975    -9.986279    -1.260363
3.023975    -9.991160    -1.220438
3.027975    -9.995882    -1.180492
3.031975    -10.000444    -1.140528
3.035975    -10.004847    -1.100544
3.039975    -10.009089    -1.060542
3.043975    -10.013170    -1.020523
3.047975    -10.017092    -0.980487
3.051975    -10.020853    -0.940434
3.055975    -10.024454    -0.900366
3.059975    -10.027895    -0.860282
3.063975    -10.031176    -0.820184
3.067975    -10.034296    -0.780073
3.071975    -10.037256    -0.739948
3.075975    -10.040055    -0.699811
3.079975    -10.042694    -0.659662
3.083975    -10.045172    -0.619502
3.087975    -10.047489    -0.579331
3.091974    -10.049645    -0.539150
3.095974    -10.051641    -0.498960
3.099974    -10.053476    -0.458762
3.103974    -10.055151    -0.418555
3.107974    -10.056664    -0.378341
3.111974    -10.058017    -0.338120
3.115974    -10.059208    -0.297894
3.119974    -10.060239    -0.257662
3.123974    -10.061109    -0.217425
3.127974    -10.061817    -0.177184
3.131974    -10.062365    -0.136940
3.135974    -10.062752    -0.096692
3.139974    -10.062978    -0.056443
3.143974    -10.063043    -0.016192
3.147974    -10.062946    0.024060
3.151974    -10.062689    0.064312
3.155974    -10.062270    0.104564
3.159974    -10.061691    0.144815
3.163974    -10.060951    0.185064
3.167974    -10.060050    0.225311
3.171973    -10.058988    0.265555
3.175973    -10.057764    0.305795
3.179973    -10.056380    0.346031
3.183973    -10.054835    0.386262
3.187973    -10.053129    0.426487
3.191973    -10.051262    0.466707
3.195973    -10.049234    0.506919
3.199973    -10.047046    0.547124
3.203973    -10.044697    0.587321
3.207973    -10.042187    0.627509
3.211973    -10.039516    0.667688
3.215973    -10.036685    0.707857
3.219973    -10.033693    0.748015
3.223973    -10.030540    0.788162
3.227973    -10.027227    0.828296
3.231973    -10.023754    0.868419
3.235973    -10.020120    0.908528
3.239973    -10.016325    0.948623
3.243973    -10.012370    0.988703
3.247972    -10.008255    1.028768
3.251972    -10.003980    1.068818
3.255972    -9.999544    1.108851
3.259972    -9.994948    1.148867
3.263972    -9.990193    1.188865
3.267972    -9.985278    1.228845
3.271972    -9.980203    1.268806
3.275972    -9.974968    1.308747
3.279972    -9.969573    1.348667
3.283972    -9.964019    1.388567
3.287972    -9.958305    1.428445
3.291972    -9.952432    1.468302
3.295972    -9.946399    1.508135
3.299972    -9.940207    1.547944
3.303972    -9.933856    1.587730
3.307972    -9.927346    1.627491
3.311972    -9.920677    1.667226
3.315972    -9.913850    1.706936
3.319972    -9.906863    1.746618
3.323972    -9.899718    1.786274
3.327971    -9.892415    1.825901
3.331971    -9.884953    1.865500
3.335971    -9.877334    1.905070
